# identification number | name | surname | username | password | name of chair

1908996849761 | Jovana | Miletic | 1908996849761 | miletic | Odsek za racunarsku tehniku i racunarske komunikacije
2011938951327 | Marija | Trajkovic | 2011938951327 | doros | Katedra za mehaniku fluida i hidropneumatske sisteme 
1810985603695 | Lana | Bogdanovic | 1810985603695 | doros | Katedra za tehnicku mehaniku 
1112962388935 | Marija | Igic | 1112962388935 | doros | Katedra za matematiku 
1108956589826 | Jovana | Maltic | 1108956589826 | doros | Katedra za fiziku 
1001920660399 | Marko | Ivic | 1001920660399 | doros | Katedra za drustvene nauke 
1808907876730 | Jovana | Stanic | 1808907876730 | doros | Katedra za animaciju u inzenjerstvu 
2409902070233 | Mina | Lazic | 2409902070233 | doros | Odsek za automatiku, geomatiku i upravljanje sistemima 
2611973868549 | Savo | Mihic | 2611973868549 | doros | Odsek za primenjene racunarske nauke i informatiku 
2807992183784 | Masa | Igic | 2807992183784 | doros | Odsek za racunarsku tehniku i racunarske komunikacije 

